,href,youtuber_name,part,gender
20,/watch?v=QIHFXdktLn8,Hbro,chest,1
21,/watch?v=c8yJNFDoKsI,Hbro,chest,1
22,/watch?v=l4NMtFE56YA,Hbro,chest,1
23,/watch?v=7Y8SU2_yep8,Hbro,chest,1
24,/watch?v=nlFvcIk1ipY,Hbro,chest,1
25,/watch?v=Qyeq5t8BgIA,Hbro,chest,1
26,/watch?v=s3G6Hr6NRog,Hbro,chest,1
27,/watch?v=iz5IGQigFyA,Hbro,chest,1
0,/watch?v=-wU_pG-P-8c,Hbro,abs,1
1,/watch?v=JMLu7FBpokw,Hbro,abs,1
2,/watch?v=vvW-oLSiahY,Hbro,abs,1
3,/watch?v=6rioCl60Y44,Hbro,abs,1
4,/watch?v=wtcXiUe4Vi4,Hbro,abs,1
5,/watch?v=p130uoSKr3k,Hbro,abs,1
6,/watch?v=l_BRP1EuBsQ,Hbro,abs,1
7,/watch?v=6Mimvk2YZa8,Hbro,abs,1
8,/watch?v=AtFmhm2Lofc,Hbro,abs,1
9,/watch?v=P2UZ9o2z3nk,Hbro,abs,1
10,/watch?v=C_15queh0f4,Hbro,abs,1
11,/watch?v=Arr_FoiRSLc,Hbro,abs,1
12,/watch?v=RNrd08KRRZc,Hbro,abs,1
13,/watch?v=8J1p2w_knmo,Hbro,abs,1
14,/watch?v=eaYJQP_cMns,Hbro,abs,1
15,/watch?v=stIPmQ7bFZQ,Hbro,abs,1
16,/watch?v=4OzytYEfG-g,Hbro,abs,1
17,/watch?v=Mk9QE75qOqM,Hbro,abs,1
18,/watch?v=yIB_q93ovc4,Hbro,abs,1
19,/watch?v=MIBZyaGloH4,Hbro,abs,1
20,/watch?v=QIHFXdktLn8,Hbro,abs,1
21,/watch?v=c8yJNFDoKsI,Hbro,abs,1
22,/watch?v=l4NMtFE56YA,Hbro,abs,1
23,/watch?v=7Y8SU2_yep8,Hbro,abs,1
24,/watch?v=nlFvcIk1ipY,Hbro,abs,1
25,/watch?v=Qyeq5t8BgIA,Hbro,abs,1
26,/watch?v=s3G6Hr6NRog,Hbro,abs,1
27,/watch?v=iz5IGQigFyA,Hbro,abs,1
0,/watch?v=YGAlSSmPXRQ,hulk,shoulder,1
